trade_id,symbol,is_pyramid,parent_id,direction,entry_time,entry_price,initial_sl,current_sl,volume,exit_time,exit_price,exit_reason,realized_pnl_thb
XAUUSD_BASE_1,XAUUSD,False,,LONG,2020-02-10 09:00:00,1532.14,1521.5903587705948,1532.14,0.89,2020-02-11 09:00:00,1532.14,STOP_LOSS_TOUCH,-1112.5
XAUUSD_PYR_2,XAUUSD,True,XAUUSD_BASE_1,LONG,2020-02-10 15:00:00,1547.964461844108,1532.14,1532.14,0.59,2020-02-11 09:00:00,1532.14,STOP_LOSS_TOUCH,-1064.28
XAUUSD_BASE_3,XAUUSD,False,,SHORT,2020-07-29 05:00:00,1936.84,1945.205003054376,1945.205003054376,1.41,2020-07-29 15:00:00,1945.205003054376,STOP_LOSS_TOUCH,-2175.31
US500_BASE_4,US500,False,,SHORT,2020-09-28 04:00:00,3287.43,3320.2519079619465,3320.2519079619465,0.35,2020-09-28 07:00:00,3308.6,THESIS_EXIT,-696.83
XAUUSD_BASE_5,XAUUSD,False,,SHORT,2022-10-25 07:00:00,1686.82,1697.5333394108459,1686.82,3.03,2022-10-25 13:00:00,1686.82,STOP_LOSS_TOUCH,-3787.5
XAUUSD_PYR_6,XAUUSD,True,XAUUSD_BASE_5,SHORT,2022-10-25 12:00:00,1670.749990883731,1686.82,1686.82,2.01,2022-10-25 13:00:00,1686.82,STOP_LOSS_TOUCH,-3643.03
XAUUSD_BASE_7,XAUUSD,False,,SHORT,2023-10-16 06:00:00,1891.14,1899.2396294374025,1899.2396294374025,4.49,2023-10-16 09:00:00,1898.47,THESIS_EXIT,-6764.41
BTCUSD_BASE_8,BTCUSD,False,,LONG,2024-08-22 07:00:00,89699.47,88949.63170169554,89699.47,0.05,2024-08-27 11:00:00,92765.67,THESIS_EXIT,5303.35
BTCUSD_PYR_9,BTCUSD,True,BTCUSD_BASE_8,LONG,2024-08-23 15:00:00,90824.22744745668,89699.47,89699.47,0.03,2024-08-27 11:00:00,92765.67,THESIS_EXIT,2001.01
XAUUSD_BASE_10,XAUUSD,False,,SHORT,2025-01-17 13:00:00,2685.61,2704.2227597612023,2704.2227597612023,2.67,2025-01-17 15:00:00,2699.35,THESIS_EXIT,-4621.5
BTCUSD_BASE_11,BTCUSD,False,,SHORT,2025-02-02 05:00:00,103983.45,104840.78133739161,104840.78133739161,0.05,2025-02-03 12:00:00,104060.61,THESIS_EXIT,-197.53
