trade_id,timestamp,symbol,direction,field_name,original_value,independent_value,absolute_difference,relative_difference,severity
BTCUSD_BASE_1,2020-01-02 07:00:00,BTCUSD,LONG,symbol,BTCUSD,XAUUSD,0.0,0.0,LOGIC_MISMATCH
BTCUSD_BASE_1,2020-01-02 07:00:00,BTCUSD,LONG,volume,0.01,0.89,0.88,88.0,NUMERICAL_TOLERANCE
BTCUSD_BASE_1,2020-01-02 07:00:00,BTCUSD,LONG,entry_price,7774.1,1532.14,6241.96,0.8029,LOGIC_MISMATCH
BTCUSD_BASE_1,2020-01-02 07:00:00,BTCUSD,LONG,current_sl,7774.1,1532.14,6241.96,0.8029,LOGIC_MISMATCH
BTCUSD_BASE_1,2020-01-02 07:00:00,BTCUSD,LONG,exit_price,9188.82,1532.14,7656.68,0.8333,LOGIC_MISMATCH
BTCUSD_BASE_1,2020-01-02 07:00:00,BTCUSD,LONG,exit_reason,THESIS_EXIT,STOP_LOSS_TOUCH,0.0,0.0,LOGIC_MISMATCH
BTCUSD_BASE_1,2020-01-02 07:00:00,BTCUSD,LONG,realized_pnl_thb,495.15,-1112.5,1607.65,3.2468,LOGIC_MISMATCH
USDJPY_BASE_2,2020-01-03 21:00:00,USDJPY,SHORT,symbol,USDJPY,XAUUSD,0.0,0.0,LOGIC_MISMATCH
USDJPY_BASE_2,2020-01-03 21:00:00,USDJPY,SHORT,direction,SHORT,LONG,0.0,0.0,LOGIC_MISMATCH
USDJPY_BASE_2,2020-01-03 21:00:00,USDJPY,SHORT,volume,0.14,0.59,0.45,3.2143,NUMERICAL_TOLERANCE
USDJPY_BASE_2,2020-01-03 21:00:00,USDJPY,SHORT,entry_price,111.16,1547.964461844108,1436.8045,12.9256,LOGIC_MISMATCH
USDJPY_BASE_2,2020-01-03 21:00:00,USDJPY,SHORT,current_sl,111.16,1532.14,1420.98,12.7832,LOGIC_MISMATCH
USDJPY_BASE_2,2020-01-03 21:00:00,USDJPY,SHORT,exit_price,110.7,1532.14,1421.44,12.8405,LOGIC_MISMATCH
USDJPY_BASE_2,2020-01-03 21:00:00,USDJPY,SHORT,exit_reason,THESIS_EXIT,STOP_LOSS_TOUCH,0.0,0.0,LOGIC_MISMATCH
USDJPY_BASE_2,2020-01-03 21:00:00,USDJPY,SHORT,realized_pnl_thb,144.9,-1064.2751370808273,1209.1751,8.3449,LOGIC_MISMATCH
BTCUSD_BASE_3,2020-01-07 10:00:00,BTCUSD,SHORT,symbol,BTCUSD,XAUUSD,0.0,0.0,LOGIC_MISMATCH
BTCUSD_BASE_3,2020-01-07 10:00:00,BTCUSD,SHORT,volume,0.01,1.41,1.4,140.0,LOGIC_MISMATCH
BTCUSD_BASE_3,2020-01-07 10:00:00,BTCUSD,SHORT,entry_price,9375.1,1936.84,7438.26,0.7934,LOGIC_MISMATCH
BTCUSD_BASE_3,2020-01-07 10:00:00,BTCUSD,SHORT,current_sl,10136.03375,1945.205003054376,8190.8287,0.8081,LOGIC_MISMATCH
BTCUSD_BASE_3,2020-01-07 10:00:00,BTCUSD,SHORT,exit_price,10136.03375,1945.205003054376,8190.8287,0.8081,LOGIC_MISMATCH
BTCUSD_BASE_3,2020-01-07 10:00:00,BTCUSD,SHORT,realized_pnl_thb,-266.33,-2175.312900733459,1908.9829,7.1677,LOGIC_MISMATCH
XAUUSD_BASE_4,2020-01-07 14:00:00,XAUUSD,LONG,symbol,XAUUSD,US500,0.0,0.0,LOGIC_MISMATCH
XAUUSD_BASE_4,2020-01-07 14:00:00,XAUUSD,LONG,direction,LONG,SHORT,0.0,0.0,LOGIC_MISMATCH
XAUUSD_BASE_4,2020-01-07 14:00:00,XAUUSD,LONG,volume,0.75,0.35,0.4,0.5333,NUMERICAL_TOLERANCE
XAUUSD_BASE_4,2020-01-07 14:00:00,XAUUSD,LONG,entry_price,1524.73,3287.43,1762.7,1.1561,LOGIC_MISMATCH
XAUUSD_BASE_4,2020-01-07 14:00:00,XAUUSD,LONG,current_sl,1512.968,3320.2519079619465,1807.2839,1.1945,LOGIC_MISMATCH
XAUUSD_BASE_4,2020-01-07 14:00:00,XAUUSD,LONG,exit_price,1516.44,3308.6,1792.16,1.1818,LOGIC_MISMATCH
XAUUSD_BASE_4,2020-01-07 14:00:00,XAUUSD,LONG,realized_pnl_thb,-217.61,-696.8325000000009,479.2225,2.2022,LOGIC_MISMATCH
USDJPY_BASE_5,2020-01-08 05:00:00,USDJPY,SHORT,symbol,USDJPY,XAUUSD,0.0,0.0,LOGIC_MISMATCH
USDJPY_BASE_5,2020-01-08 05:00:00,USDJPY,SHORT,volume,0.13,3.03,2.9,22.3077,LOGIC_MISMATCH
USDJPY_BASE_5,2020-01-08 05:00:00,USDJPY,SHORT,entry_price,109.66,1686.82,1577.16,14.3823,LOGIC_MISMATCH
USDJPY_BASE_5,2020-01-08 05:00:00,USDJPY,SHORT,current_sl,110.63475,1686.82,1576.1852,14.2467,LOGIC_MISMATCH
USDJPY_BASE_5,2020-01-08 05:00:00,USDJPY,SHORT,exit_price,110.24,1686.82,1576.58,14.3013,LOGIC_MISMATCH
USDJPY_BASE_5,2020-01-08 05:00:00,USDJPY,SHORT,exit_reason,THESIS_EXIT,STOP_LOSS_TOUCH,0.0,0.0,LOGIC_MISMATCH
USDJPY_BASE_5,2020-01-08 05:00:00,USDJPY,SHORT,realized_pnl_thb,-169.65,-3787.5,3617.85,21.3254,LOGIC_MISMATCH
XAUUSD_BASE_6,2020-01-13 14:00:00,XAUUSD,LONG,direction,LONG,SHORT,0.0,0.0,LOGIC_MISMATCH
XAUUSD_BASE_6,2020-01-13 14:00:00,XAUUSD,LONG,volume,0.86,2.01,1.15,1.3372,LOGIC_MISMATCH
XAUUSD_BASE_6,2020-01-13 14:00:00,XAUUSD,LONG,entry_price,1552.93,1670.749990883731,117.82,0.0759,LOGIC_MISMATCH
XAUUSD_BASE_6,2020-01-13 14:00:00,XAUUSD,LONG,current_sl,1543.05275,1686.82,143.7672,0.0932,LOGIC_MISMATCH
XAUUSD_BASE_6,2020-01-13 14:00:00,XAUUSD,LONG,exit_price,1545.47,1686.82,141.35,0.0915,LOGIC_MISMATCH
XAUUSD_BASE_6,2020-01-13 14:00:00,XAUUSD,LONG,exit_reason,THESIS_EXIT,STOP_LOSS_TOUCH,0.0,0.0,LOGIC_MISMATCH
XAUUSD_BASE_6,2020-01-13 14:00:00,XAUUSD,LONG,realized_pnl_thb,-224.55,-3643.025141329518,3418.4751,15.2237,LOGIC_MISMATCH
USDJPY_BASE_7,2020-01-14 02:00:00,USDJPY,SHORT,symbol,USDJPY,XAUUSD,0.0,0.0,LOGIC_MISMATCH
USDJPY_BASE_7,2020-01-14 02:00:00,USDJPY,SHORT,volume,0.12,4.49,4.37,36.4167,LOGIC_MISMATCH
USDJPY_BASE_7,2020-01-14 02:00:00,USDJPY,SHORT,entry_price,109.31,1891.14,1781.83,16.3007,LOGIC_MISMATCH
USDJPY_BASE_7,2020-01-14 02:00:00,USDJPY,SHORT,current_sl,110.39325000000001,1899.2396294374025,1788.8464,16.2043,LOGIC_MISMATCH
USDJPY_BASE_7,2020-01-14 02:00:00,USDJPY,SHORT,exit_price,110.22,1898.47,1788.25,16.2244,LOGIC_MISMATCH
USDJPY_BASE_7,2020-01-14 02:00:00,USDJPY,SHORT,realized_pnl_thb,-245.7,-6764.409499999989,6518.7095,26.5312,LOGIC_MISMATCH
XAUUSD_BASE_8,2020-01-15 11:00:00,XAUUSD,SHORT,symbol,XAUUSD,BTCUSD,0.0,0.0,LOGIC_MISMATCH
XAUUSD_BASE_8,2020-01-15 11:00:00,XAUUSD,SHORT,direction,SHORT,LONG,0.0,0.0,LOGIC_MISMATCH
XAUUSD_BASE_8,2020-01-15 11:00:00,XAUUSD,SHORT,volume,0.61,0.05,0.56,0.918,NUMERICAL_TOLERANCE
XAUUSD_BASE_8,2020-01-15 11:00:00,XAUUSD,SHORT,entry_price,1533.86,89699.47,88165.61,57.4796,LOGIC_MISMATCH
XAUUSD_BASE_8,2020-01-15 11:00:00,XAUUSD,SHORT,current_sl,1547.0314999999998,89699.47,88152.4385,56.9817,LOGIC_MISMATCH
XAUUSD_BASE_8,2020-01-15 11:00:00,XAUUSD,SHORT,exit_price,1542.1,92765.67,91223.57,59.1554,LOGIC_MISMATCH
XAUUSD_BASE_8,2020-01-15 11:00:00,XAUUSD,SHORT,realized_pnl_thb,-175.92,5303.349999999995,5479.27,31.1464,LOGIC_MISMATCH
USDJPY_BASE_9,2020-01-15 14:00:00,USDJPY,LONG,symbol,USDJPY,BTCUSD,0.0,0.0,LOGIC_MISMATCH
USDJPY_BASE_9,2020-01-15 14:00:00,USDJPY,LONG,volume,0.11,0.03,0.08,0.7273,NUMERICAL_TOLERANCE
USDJPY_BASE_9,2020-01-15 14:00:00,USDJPY,LONG,entry_price,110.19,90824.22744745668,90714.0374,823.2511,LOGIC_MISMATCH
USDJPY_BASE_9,2020-01-15 14:00:00,USDJPY,LONG,current_sl,109.102,89699.47,89590.368,821.1616,LOGIC_MISMATCH
USDJPY_BASE_9,2020-01-15 14:00:00,USDJPY,LONG,exit_price,109.67,92765.67,92656.0,844.8619,LOGIC_MISMATCH
USDJPY_BASE_9,2020-01-15 14:00:00,USDJPY,LONG,realized_pnl_thb,-128.7,2001.0146801704839,2129.7147,16.5479,LOGIC_MISMATCH
US500_BASE_10,2020-01-16 08:00:00,US500,SHORT,symbol,US500,XAUUSD,0.0,0.0,LOGIC_MISMATCH
US500_BASE_10,2020-01-16 08:00:00,US500,SHORT,volume,0.18,2.67,2.49,13.8333,LOGIC_MISMATCH
US500_BASE_10,2020-01-16 08:00:00,US500,SHORT,entry_price,3022.23,2685.61,336.62,0.1114,LOGIC_MISMATCH
US500_BASE_10,2020-01-16 08:00:00,US500,SHORT,current_sl,3065.65575,2704.2227597612023,361.433,0.1179,LOGIC_MISMATCH
US500_BASE_10,2020-01-16 08:00:00,US500,SHORT,exit_price,3047.61,2699.35,348.26,0.1143,LOGIC_MISMATCH
US500_BASE_10,2020-01-16 08:00:00,US500,SHORT,realized_pnl_thb,-159.89,-4621.50299999998,4461.613,27.9043,LOGIC_MISMATCH
USDJPY_BASE_11,2020-01-16 13:00:00,USDJPY,SHORT,symbol,USDJPY,BTCUSD,0.0,0.0,LOGIC_MISMATCH
USDJPY_BASE_11,2020-01-16 13:00:00,USDJPY,SHORT,volume,0.11,0.05,0.06,0.5455,NUMERICAL_TOLERANCE
USDJPY_BASE_11,2020-01-16 13:00:00,USDJPY,SHORT,entry_price,109.97,103983.45,103873.48,944.562,LOGIC_MISMATCH
USDJPY_BASE_11,2020-01-16 13:00:00,USDJPY,SHORT,current_sl,111.03775,104840.78133739161,104729.7436,943.1904,LOGIC_MISMATCH
USDJPY_BASE_11,2020-01-16 13:00:00,USDJPY,SHORT,exit_price,110.39,104060.61,103950.22,941.6634,LOGIC_MISMATCH
USDJPY_BASE_11,2020-01-16 13:00:00,USDJPY,SHORT,realized_pnl_thb,-103.95,-197.5300000000061,93.58,0.9002,LOGIC_MISMATCH
XAUUSD_BASE_12,2020-01-20 13:00:00,XAUUSD,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
XAUUSD_PYR_13,2020-01-22 09:00:00,XAUUSD,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
XAUUSD_BASE_14,2020-01-23 18:00:00,XAUUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_15,2020-01-27 08:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
XAUUSD_BASE_16,2020-01-28 06:00:00,XAUUSD,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_17,2020-01-30 02:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_18,2020-01-31 10:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_PYR_19,2020-02-03 16:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
XAUUSD_BASE_20,2020-02-06 10:00:00,XAUUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_21,2020-02-07 04:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_22,2020-02-09 22:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_23,2020-02-11 13:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_24,2020-02-12 08:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_25,2020-02-14 10:00:00,US500,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_26,2020-02-14 21:00:00,US500,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_27,2020-02-18 12:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
