trade_id,symbol,direction,entry_time_utc,entry_time_thai,thai_hour,time_bucket,is_user_online,schedule_status,entry_price,initial_sl,exit_time,exit_price,exit_reason,outcome,hypothetical_net_pnl_thb,mae_price,mfe_price,mae_pct,mfe_pct
XAUUSD_BASE_2,XAUUSD,SHORT,2020-01-02 14:00:00,2020-01-02 21:00:00,21,17:00–22:00 (Evening/NY Overlap),True,ONLINE_CAPTURED,1515.84,1531.4775,2020-01-06 11:00:00,1515.83,THESIS_EXIT,LOSS,-12.5,0.01,4.69125,0.001,0.309
BTCUSD_BASE_1,BTCUSD,LONG,2020-01-02 07:00:00,2020-01-02 14:00:00,14,09:00–16:00 (Day/London Open),True,ONLINE_CAPTURED,7774.1,7003.67475,2020-01-06 16:00:00,9188.82,THESIS_EXIT,WIN,482.65,308.1701,1414.72,3.964,18.198
BTCUSD_BASE_3,BTCUSD,SHORT,2020-01-07 10:00:00,2020-01-07 17:00:00,17,17:00–22:00 (Evening/NY Overlap),True,ONLINE_CAPTURED,9375.1,10136.03375,2020-01-07 14:00:00,10136.03375,STOP_LOSS_TOUCH,LOSS,-278.83,760.93375,228.28013,8.117,2.435
XAUUSD_BASE_4,XAUUSD,LONG,2020-01-07 14:00:00,2020-01-07 21:00:00,21,17:00–22:00 (Evening/NY Overlap),True,ONLINE_CAPTURED,1524.73,1512.968,2020-01-07 19:00:00,1516.44,THESIS_EXIT,LOSS,-15.4,8.29,3.5286,0.544,0.231
USDJPY_BASE_5,USDJPY,SHORT,2020-01-08 05:00:00,2020-01-08 12:00:00,12,09:00–16:00 (Day/London Open),True,ONLINE_CAPTURED,109.66,110.63475,2020-01-08 12:00:00,110.24,THESIS_EXIT,LOSS,-25.55,0.58,0.29243,0.529,0.267
XAUUSD_BASE_6,XAUUSD,SHORT,2020-01-08 07:00:00,2020-01-08 14:00:00,14,09:00–16:00 (Day/London Open),True,ONLINE_CAPTURED,1517.99,1527.05225,2020-01-08 14:00:00,1527.05225,STOP_LOSS_TOUCH,LOSS,-15.67,9.06225,2.71867,0.597,0.179
XAUUSD_BASE_8,XAUUSD,LONG,2020-01-13 14:00:00,2020-01-13 21:00:00,21,17:00–22:00 (Evening/NY Overlap),True,ONLINE_CAPTURED,1552.93,1543.05275,2020-01-14 00:00:00,1545.47,THESIS_EXIT,LOSS,-15.11,7.46,2.96318,0.48,0.191
BTCUSD_BASE_7,BTCUSD,LONG,2020-01-12 09:00:00,2020-01-12 16:00:00,16,16:00–17:00 (Dinner Break),False,OFFLINE_MISSED,9261.58,8358.281,2020-01-14 08:00:00,9739.91,THESIS_EXIT,WIN,154.92,361.3196,478.33,3.901,5.165
USDJPY_BASE_9,USDJPY,SHORT,2020-01-14 02:00:00,2020-01-14 09:00:00,9,09:00–16:00 (Day/London Open),True,ONLINE_CAPTURED,109.31,110.39325,2020-01-14 12:00:00,110.22,THESIS_EXIT,LOSS,-32.97,0.91,0.32498,0.832,0.297
US500_BASE_10,US500,LONG,2020-01-14 10:00:00,2020-01-14 17:00:00,17,17:00–22:00 (Evening/NY Overlap),True,ONLINE_CAPTURED,3126.06,3085.5345,2020-01-14 12:00:00,3104.43,THESIS_EXIT,LOSS,-20.07,21.63,12.15765,0.692,0.389
GBPUSD_BASE_11,GBPUSD,SHORT,2020-01-14 15:00:00,2020-01-14 22:00:00,22,22:00–24:00 (Late Night NY Close),False,OFFLINE_MISSED,1.2837,1.2937,2020-01-14 23:00:00,1.29105,THESIS_EXIT,LOSS,-269.75,0.00735,0.003,0.573,0.234
XAUUSD_BASE_13,XAUUSD,SHORT,2020-01-15 11:00:00,2020-01-15 18:00:00,18,17:00–22:00 (Evening/NY Overlap),True,ONLINE_CAPTURED,1533.86,1547.0315,2020-01-15 14:00:00,1542.1,THESIS_EXIT,LOSS,-15.38,8.24,3.95145,0.537,0.258
USDJPY_BASE_14,USDJPY,LONG,2020-01-15 14:00:00,2020-01-15 21:00:00,21,17:00–22:00 (Evening/NY Overlap),True,ONLINE_CAPTURED,110.19,109.102,2020-01-16 05:00:00,109.67,THESIS_EXIT,LOSS,-24.2,0.52,0.3264,0.472,0.296
