rank_pnl,trade_id,symbol,direction,entry_time_thai,thai_hour,is_user_online,schedule_status,hypothetical_net_pnl_thb,outcome,mae_pct,mfe_pct
1,GBPUSD_BASE_883,GBPUSD,LONG,2023-05-24 14:00:00,14,True,ONLINE_CAPTURED,3357.3,WIN,0.335,8.951
2,BTCUSD_BASE_610,BTCUSD,LONG,2022-05-02 22:00:00,22,False,OFFLINE_MISSED,2529.75,WIN,1.207,22.029
3,GBPUSD_BASE_696,GBPUSD,SHORT,2022-09-07 08:00:00,8,False,OFFLINE_MISSED,1836.55,WIN,0.361,4.331
4,GBPUSD_BASE_723,GBPUSD,SHORT,2022-10-19 18:00:00,18,True,ONLINE_CAPTURED,1671.35,WIN,0.361,4.136
5,GBPUSD_BASE_1304,GBPUSD,SHORT,2025-01-01 02:00:00,2,False,OFFLINE_MISSED,1508.6,WIN,0.412,4.37
6,BTCUSD_BASE_196,BTCUSD,LONG,2020-09-19 10:00:00,10,True,ONLINE_CAPTURED,1504.54,WIN,0.719,12.116
7,BTCUSD_BASE_255,BTCUSD,SHORT,2020-12-11 13:00:00,13,True,ONLINE_CAPTURED,1450.84,WIN,0.729,8.291
8,BTCUSD_BASE_125,BTCUSD,SHORT,2020-06-15 11:00:00,11,True,ONLINE_CAPTURED,1437.71,WIN,1.074,13.418
9,BTCUSD_BASE_762,BTCUSD,SHORT,2022-12-17 00:00:00,0,False,OFFLINE_MISSED,1391.27,WIN,1.064,11.883
10,BTCUSD_BASE_462,BTCUSD,LONG,2021-10-01 04:00:00,4,False,OFFLINE_MISSED,1267.12,WIN,1.11,10.505
11,BTCUSD_BASE_1204,BTCUSD,LONG,2024-08-20 23:00:00,23,False,OFFLINE_MISSED,1252.49,WIN,0.443,4.054
12,GBPUSD_BASE_471,GBPUSD,SHORT,2021-10-15 19:00:00,19,True,ONLINE_CAPTURED,1247.5,WIN,0.343,2.868
13,BTCUSD_BASE_558,BTCUSD,SHORT,2022-02-17 13:00:00,13,True,ONLINE_CAPTURED,1198.18,WIN,0.985,10.311
14,BTCUSD_BASE_643,BTCUSD,LONG,2022-06-25 09:00:00,9,True,ONLINE_CAPTURED,1178.36,WIN,0.696,7.964
15,BTCUSD_BASE_868,BTCUSD,LONG,2023-05-04 02:00:00,2,False,OFFLINE_MISSED,1149.82,WIN,0.949,8.558
16,BTCUSD_BASE_253,BTCUSD,LONG,2020-12-06 22:00:00,22,False,OFFLINE_MISSED,1115.87,WIN,0.596,6.764
17,GBPUSD_BASE_1351,GBPUSD,SHORT,2025-03-20 19:00:00,19,True,ONLINE_CAPTURED,1109.95,WIN,0.329,3.194
18,BTCUSD_BASE_1157,BTCUSD,LONG,2024-06-19 05:00:00,5,False,OFFLINE_MISSED,1092.57,WIN,0.542,3.768
19,GBPUSD_BASE_1250,GBPUSD,SHORT,2024-10-21 06:00:00,6,False,OFFLINE_MISSED,1050.8,WIN,0.378,3.025
20,BTCUSD_BASE_998,BTCUSD,LONG,2023-11-20 23:00:00,23,False,OFFLINE_MISSED,1050.76,WIN,0.796,5.072
21,GBPUSD_BASE_540,GBPUSD,SHORT,2022-01-26 00:00:00,0,False,OFFLINE_MISSED,1018.25,WIN,0.338,2.616
22,GBPUSD_BASE_479,GBPUSD,SHORT,2021-10-27 10:00:00,10,True,ONLINE_CAPTURED,1006.0,WIN,0.311,2.378
23,BTCUSD_BASE_565,BTCUSD,LONG,2022-03-02 21:00:00,21,True,ONLINE_CAPTURED,992.38,WIN,1.473,10.168
24,BTCUSD_BASE_64,BTCUSD,LONG,2020-03-15 00:00:00,0,False,OFFLINE_MISSED,979.82,WIN,2.929,20.096
25,GBPUSD_BASE_409,GBPUSD,LONG,2021-07-21 00:00:00,0,False,OFFLINE_MISSED,973.45,WIN,0.427,2.356
26,GBPUSD_BASE_1480,GBPUSD,LONG,2025-09-13 01:00:00,1,False,OFFLINE_MISSED,935.3,WIN,0.597,3.172
27,BTCUSD_BASE_94,BTCUSD,LONG,2020-05-02 18:00:00,18,True,ONLINE_CAPTURED,928.6,WIN,1.413,13.698
28,GBPUSD_BASE_359,GBPUSD,SHORT,2021-05-07 19:00:00,19,True,ONLINE_CAPTURED,861.8,WIN,0.341,1.895
29,BTCUSD_BASE_1491,BTCUSD,SHORT,2025-09-26 08:00:00,8,False,OFFLINE_MISSED,861.58,WIN,0.339,2.919
30,GBPUSD_BASE_84,GBPUSD,SHORT,2020-04-16 23:00:00,23,False,OFFLINE_MISSED,860.05,WIN,0.259,1.959
31,BTCUSD_BASE_817,BTCUSD,LONG,2023-02-27 22:00:00,22,False,OFFLINE_MISSED,852.38,WIN,2.024,11.9
32,BTCUSD_BASE_483,BTCUSD,LONG,2021-11-08 21:00:00,21,True,ONLINE_CAPTURED,849.94,WIN,1.171,7.618
33,GBPUSD_BASE_909,GBPUSD,LONG,2023-07-05 01:00:00,1,False,OFFLINE_MISSED,811.05,WIN,0.304,2.104
34,GBPUSD_BASE_386,GBPUSD,SHORT,2021-06-16 15:00:00,15,True,ONLINE_CAPTURED,807.9,WIN,0.263,1.924
35,GBPUSD_BASE_879,GBPUSD,SHORT,2023-05-18 15:00:00,15,True,ONLINE_CAPTURED,805.1,WIN,0.391,2.123
36,BTCUSD_BASE_222,BTCUSD,SHORT,2020-10-29 16:00:00,16,False,OFFLINE_MISSED,792.66,WIN,0.664,4.82
37,GBPUSD_BASE_673,GBPUSD,SHORT,2022-08-02 15:00:00,15,True,ONLINE_CAPTURED,761.7,WIN,0.326,1.896
38,BTCUSD_BASE_1254,BTCUSD,LONG,2024-10-26 18:00:00,18,True,ONLINE_CAPTURED,757.16,WIN,0.316,2.372
39,GBPUSD_BASE_282,GBPUSD,SHORT,2021-01-18 18:00:00,18,True,ONLINE_CAPTURED,756.8,WIN,0.271,1.7
40,GBPUSD_BASE_717,GBPUSD,LONG,2022-10-10 10:00:00,10,True,ONLINE_CAPTURED,747.0,WIN,0.315,1.85
41,BTCUSD_BASE_381,BTCUSD,SHORT,2021-06-09 17:00:00,17,True,ONLINE_CAPTURED,728.03,WIN,0.919,5.061
42,BTCUSD_BASE_593,BTCUSD,SHORT,2022-04-13 09:00:00,9,True,ONLINE_CAPTURED,712.15,WIN,1.037,6.954
43,BTCUSD_BASE_1400,BTCUSD,SHORT,2025-05-31 21:00:00,21,True,ONLINE_CAPTURED,706.27,WIN,0.371,2.312
44,BTCUSD_BASE_966,BTCUSD,SHORT,2023-09-23 22:00:00,22,False,OFFLINE_MISSED,677.06,WIN,0.691,3.846
45,BTCUSD_BASE_491,BTCUSD,SHORT,2021-11-23 05:00:00,5,False,OFFLINE_MISSED,674.78,WIN,1.131,5.385
46,BTCUSD_BASE_1357,BTCUSD,SHORT,2025-03-31 19:00:00,19,True,ONLINE_CAPTURED,673.19,WIN,0.405,2.149
47,GBPUSD_BASE_1275,GBPUSD,LONG,2024-11-20 01:00:00,1,False,OFFLINE_MISSED,672.45,WIN,0.396,1.985
48,BTCUSD_BASE_69,BTCUSD,LONG,2020-03-21 23:00:00,23,False,OFFLINE_MISSED,669.14,WIN,2.13,9.834
49,BTCUSD_BASE_1446,BTCUSD,LONG,2025-08-01 21:00:00,21,True,ONLINE_CAPTURED,659.64,WIN,0.401,2.269
50,BTCUSD_BASE_135,BTCUSD,LONG,2020-06-30 10:00:00,10,True,ONLINE_CAPTURED,651.53,WIN,1.016,6.652
51,BTCUSD_BASE_632,BTCUSD,LONG,2022-06-03 18:00:00,18,True,ONLINE_CAPTURED,641.21,WIN,0.873,4.95
52,BTCUSD_BASE_562,BTCUSD,SHORT,2022-02-24 20:00:00,20,True,ONLINE_CAPTURED,632.7,WIN,1.243,6.167
53,BTCUSD_BASE_618,BTCUSD,SHORT,2022-05-15 19:00:00,19,True,ONLINE_CAPTURED,620.95,WIN,1.057,4.416
54,GBPUSD_BASE_1376,GBPUSD,SHORT,2025-04-24 21:00:00,21,True,ONLINE_CAPTURED,620.65,WIN,0.393,1.923
55,BTCUSD_BASE_983,BTCUSD,LONG,2023-11-01 22:00:00,22,False,OFFLINE_MISSED,607.7,WIN,0.708,3.546
56,GBPUSD_BASE_973,GBPUSD,SHORT,2023-10-12 19:00:00,19,True,ONLINE_CAPTURED,605.25,WIN,0.42,1.808
57,BTCUSD_BASE_1037,BTCUSD,LONG,2024-01-18 21:00:00,21,True,ONLINE_CAPTURED,600.99,WIN,0.588,2.576
58,BTCUSD_BASE_1174,BTCUSD,LONG,2024-07-14 12:00:00,12,True,ONLINE_CAPTURED,599.4,WIN,0.401,2.037
59,GBPUSD_BASE_262,GBPUSD,LONG,2020-12-23 03:00:00,3,False,OFFLINE_MISSED,578.65,WIN,0.353,1.295
60,BTCUSD_BASE_1111,BTCUSD,LONG,2024-04-26 22:00:00,22,False,OFFLINE_MISSED,570.39,WIN,0.498,2.291
61,BTCUSD_BASE_1458,BTCUSD,SHORT,2025-08-19 13:00:00,13,True,ONLINE_CAPTURED,556.19,WIN,0.31,1.939
62,BTCUSD_BASE_83,BTCUSD,LONG,2020-04-13 03:00:00,3,False,OFFLINE_MISSED,555.75,WIN,1.563,8.195
63,BTCUSD_BASE_1239,BTCUSD,LONG,2024-10-06 10:00:00,10,True,ONLINE_CAPTURED,548.9,WIN,0.321,1.854
64,BTCUSD_BASE_314,BTCUSD,SHORT,2021-03-05 20:00:00,20,True,ONLINE_CAPTURED,545.61,WIN,0.849,3.546
65,BTCUSD_BASE_1086,BTCUSD,SHORT,2024-03-24 21:00:00,21,True,ONLINE_CAPTURED,538.52,WIN,0.543,2.184
66,BTCUSD_BASE_836,BTCUSD,LONG,2023-03-26 18:00:00,18,True,ONLINE_CAPTURED,533.08,WIN,1.111,4.197
67,GBPUSD_BASE_1078,GBPUSD,SHORT,2024-03-11 13:00:00,13,True,ONLINE_CAPTURED,527.55,WIN,0.354,1.478
68,GBPUSD_BASE_1557,GBPUSD,SHORT,2025-12-13 01:00:00,1,False,OFFLINE_MISSED,516.7,WIN,0.444,1.68
69,GBPUSD_BASE_898,GBPUSD,SHORT,2023-06-15 22:00:00,22,False,OFFLINE_MISSED,511.8,WIN,0.374,1.303
70,GBPUSD_BASE_732,GBPUSD,SHORT,2022-11-04 17:00:00,17,True,ONLINE_CAPTURED,510.75,WIN,0.297,1.345
71,BTCUSD_BASE_980,BTCUSD,LONG,2023-10-28 14:00:00,14,True,ONLINE_CAPTURED,492.87,WIN,0.681,3.004
72,BTCUSD_BASE_1,BTCUSD,LONG,2020-01-02 14:00:00,14,True,ONLINE_CAPTURED,482.65,WIN,3.964,18.198
73,GBPUSD_BASE_1016,GBPUSD,LONG,2023-12-25 17:00:00,17,True,ONLINE_CAPTURED,475.75,WIN,0.35,1.356
74,BTCUSD_BASE_466,BTCUSD,SHORT,2021-10-09 18:00:00,18,True,ONLINE_CAPTURED,472.06,WIN,1.021,3.657
75,BTCUSD_BASE_959,BTCUSD,SHORT,2023-09-13 22:00:00,22,False,OFFLINE_MISSED,471.41,WIN,0.771,2.563
76,GBPUSD_BASE_51,GBPUSD,SHORT,2020-02-25 19:00:00,19,True,ONLINE_CAPTURED,446.7,WIN,0.317,1.095
77,BTCUSD_BASE_1452,BTCUSD,SHORT,2025-08-10 04:00:00,4,False,OFFLINE_MISSED,443.56,WIN,0.432,1.54
78,BTCUSD_BASE_844,BTCUSD,LONG,2023-04-03 18:00:00,18,True,ONLINE_CAPTURED,441.61,WIN,0.838,3.359
79,GBPUSD_BASE_992,GBPUSD,LONG,2023-11-15 05:00:00,5,False,OFFLINE_MISSED,436.55,WIN,0.412,1.289
80,BTCUSD_BASE_167,BTCUSD,LONG,2020-08-17 07:00:00,7,False,OFFLINE_MISSED,421.01,WIN,0.937,3.589
81,BTCUSD_BASE_874,BTCUSD,LONG,2023-05-12 10:00:00,10,True,ONLINE_CAPTURED,420.84,WIN,0.664,2.85
82,GBPUSD_BASE_183,GBPUSD,SHORT,2020-09-04 22:00:00,22,False,OFFLINE_MISSED,415.2,WIN,0.312,0.93
83,GBPUSD_BASE_678,GBPUSD,SHORT,2022-08-10 19:00:00,19,True,ONLINE_CAPTURED,412.4,WIN,0.413,1.066
84,GBPUSD_BASE_351,GBPUSD,SHORT,2021-04-24 00:00:00,0,False,OFFLINE_MISSED,410.65,WIN,0.282,0.896
85,BTCUSD_BASE_439,BTCUSD,SHORT,2021-08-30 21:00:00,21,True,ONLINE_CAPTURED,407.65,WIN,1.062,3.113
86,GBPUSD_BASE_519,GBPUSD,SHORT,2021-12-31 09:00:00,9,True,ONLINE_CAPTURED,405.05,WIN,0.309,1.084
87,BTCUSD_BASE_59,BTCUSD,SHORT,2020-03-08 18:00:00,18,True,ONLINE_CAPTURED,391.28,WIN,2.275,7.385
88,BTCUSD_BASE_1100,BTCUSD,SHORT,2024-04-16 02:00:00,2,False,OFFLINE_MISSED,388.88,WIN,0.571,1.556
89,BTCUSD_BASE_521,BTCUSD,LONG,2022-01-03 13:00:00,13,True,ONLINE_CAPTURED,384.98,WIN,1.03,3.596
90,GBPUSD_BASE_577,GBPUSD,SHORT,2022-03-23 07:00:00,7,False,OFFLINE_MISSED,383.35,WIN,0.377,0.927
91,GBPUSD_BASE_1253,GBPUSD,LONG,2024-10-26 03:00:00,3,False,OFFLINE_MISSED,377.4,WIN,0.464,1.147
92,BTCUSD_BASE_48,BTCUSD,SHORT,2020-02-20 12:00:00,12,True,ONLINE_CAPTURED,377.26,WIN,2.025,7.541
93,BTCUSD_BASE_448,BTCUSD,SHORT,2021-09-14 20:00:00,20,True,ONLINE_CAPTURED,375.73,WIN,0.939,2.956
94,BTCUSD_BASE_32,BTCUSD,LONG,2020-02-02 19:00:00,19,True,ONLINE_CAPTURED,362.55,WIN,3.939,12.013
95,BTCUSD_BASE_275,BTCUSD,SHORT,2021-01-10 23:00:00,23,False,OFFLINE_MISSED,355.55,WIN,0.824,2.073
96,GBPUSD_BASE_1560,GBPUSD,LONG,2025-12-17 00:00:00,0,False,OFFLINE_MISSED,354.65,WIN,0.568,1.191
97,BTCUSD_BASE_124,BTCUSD,LONG,2020-06-12 12:00:00,12,True,ONLINE_CAPTURED,354.12,WIN,1.24,3.532
98,BTCUSD_BASE_116,BTCUSD,LONG,2020-06-04 15:00:00,15,True,ONLINE_CAPTURED,353.08,WIN,1.205,3.534
99,BTCUSD_BASE_800,BTCUSD,LONG,2023-01-30 02:00:00,2,False,OFFLINE_MISSED,350.17,WIN,1.415,3.778
100,BTCUSD_BASE_331,BTCUSD,LONG,2021-03-24 23:00:00,23,False,OFFLINE_MISSED,342.45,WIN,0.915,2.349
101,GBPUSD_BASE_727,GBPUSD,LONG,2022-10-26 01:00:00,1,False,OFFLINE_MISSED,339.6,WIN,0.405,0.905
102,BTCUSD_BASE_427,BTCUSD,LONG,2021-08-11 23:00:00,23,False,OFFLINE_MISSED,333.59,WIN,1.149,2.309
103,GBPUSD_BASE_430,GBPUSD,SHORT,2021-08-19 22:00:00,22,False,OFFLINE_MISSED,324.55,WIN,0.37,0.811
104,BTCUSD_BASE_811,BTCUSD,SHORT,2023-02-18 20:00:00,20,True,ONLINE_CAPTURED,317.92,WIN,2.098,5.01
105,BTCUSD_BASE_689,BTCUSD,SHORT,2022-08-25 15:00:00,15,True,ONLINE_CAPTURED,312.86,WIN,0.69,2.023
106,GBPUSD_BASE_1115,GBPUSD,LONG,2024-05-03 08:00:00,8,False,OFFLINE_MISSED,311.25,WIN,0.461,0.888
107,BTCUSD_BASE_1135,BTCUSD,SHORT,2024-05-26 15:00:00,15,True,ONLINE_CAPTURED,299.02,WIN,0.425,1.09
108,BTCUSD_BASE_843,BTCUSD,SHORT,2023-04-01 06:00:00,6,False,OFFLINE_MISSED,298.08,WIN,1.02,2.245
109,GBPUSD_BASE_1381,GBPUSD,LONG,2025-05-05 22:00:00,22,False,OFFLINE_MISSED,295.15,WIN,0.452,0.946
