step_id,norm_open,norm_high,norm_low,norm_close,norm_volume
T_00001,100.0,104.6147,99.5049,102.0118,3.3
T_00002,102.0118,105.6471,98.6819,104.7049,3.57
T_00003,104.7049,104.991,102.4342,104.3457,2.65
T_00004,104.3457,105.5893,102.6601,103.5119,2.84
T_00005,103.5119,105.2714,101.4824,103.0232,2.7
T_00006,103.0232,104.6918,98.4408,99.1913,4.04
T_00007,99.1913,100.7667,98.6292,100.621,3.06
T_00008,100.621,106.3461,91.9311,105.184,4.32
T_00009,105.184,111.6451,100.9732,108.1731,3.69
T_00010,108.1731,110.1122,106.1719,107.9464,2.6
T_00011,107.9464,110.4036,107.9221,109.0111,2.92
T_00012,109.0111,113.8183,107.536,110.7919,3.2
T_00013,110.7919,117.2661,102.6143,117.1331,5.03
T_00014,117.1331,119.6958,111.6218,113.4228,3.99
T_00015,113.4228,115.6613,112.2296,115.5826,3.36
T_00016,115.5826,116.0144,112.2414,112.3282,3.81
T_00017,112.3282,121.4056,108.8719,116.7224,4.25
T_00018,116.7224,117.0989,114.5772,115.0303,3.19
T_00019,115.0303,118.6439,110.4492,111.5579,3.9
T_00020,111.5579,111.9057,111.4299,111.5486,2.51
T_00021,111.5486,112.4928,108.1907,110.8579,2.79
T_00022,110.8579,111.4129,110.1872,110.3868,2.7
T_00023,110.3868,110.4187,106.1699,107.3661,3.72
T_00024,107.3661,109.9822,105.8478,108.3128,2.87
T_00025,108.3128,109.7529,107.8343,108.9329,2.74
T_00026,108.9329,109.0203,107.2506,107.7633,2.98
T_00027,107.7633,107.8183,106.166,106.8969,2.85
T_00028,106.8969,108.5835,105.1815,106.6118,2.62
T_00029,106.6118,107.8188,105.1936,106.2849,2.64
T_00030,106.2849,109.1331,106.2783,107.0003,2.78
T_00031,107.0003,107.0044,103.835,106.0878,2.87
T_00032,106.0878,110.2049,104.9328,107.9736,3.25
T_00033,107.9736,109.515,106.0931,106.3103,3.17
T_00034,106.3103,109.2561,101.3292,103.3831,3.68
T_00035,103.3831,106.7897,102.6021,105.2533,3.24
