trade_id,timestamp,symbol,direction,field_name,original_value,independent_value,absolute_difference,relative_difference,severity
BTCUSD_BASE_1,2020-01-02 07:00:00,BTCUSD,LONG,symbol,BTCUSD,XAUUSD,0.0,0.0,LOGIC_MISMATCH
BTCUSD_BASE_1,2020-01-02 07:00:00,BTCUSD,LONG,volume,0.01,0.89,0.88,88.0,NUMERICAL_TOLERANCE
BTCUSD_BASE_1,2020-01-02 07:00:00,BTCUSD,LONG,entry_price,7774.1,1532.14,6241.96,0.8029,LOGIC_MISMATCH
BTCUSD_BASE_1,2020-01-02 07:00:00,BTCUSD,LONG,current_sl,7774.1,1532.14,6241.96,0.8029,LOGIC_MISMATCH
BTCUSD_BASE_1,2020-01-02 07:00:00,BTCUSD,LONG,exit_price,9188.82,1532.14,7656.68,0.8333,LOGIC_MISMATCH
BTCUSD_BASE_1,2020-01-02 07:00:00,BTCUSD,LONG,exit_reason,THESIS_EXIT,STOP_LOSS_TOUCH,0.0,0.0,LOGIC_MISMATCH
BTCUSD_BASE_1,2020-01-02 07:00:00,BTCUSD,LONG,realized_pnl_thb,495.15,-1112.5,1607.65,3.2468,LOGIC_MISMATCH
USDJPY_BASE_2,2020-01-03 21:00:00,USDJPY,SHORT,symbol,USDJPY,XAUUSD,0.0,0.0,LOGIC_MISMATCH
USDJPY_BASE_2,2020-01-03 21:00:00,USDJPY,SHORT,direction,SHORT,LONG,0.0,0.0,LOGIC_MISMATCH
USDJPY_BASE_2,2020-01-03 21:00:00,USDJPY,SHORT,volume,0.14,0.59,0.45,3.2143,NUMERICAL_TOLERANCE
USDJPY_BASE_2,2020-01-03 21:00:00,USDJPY,SHORT,entry_price,111.16,1547.964461844108,1436.8045,12.9256,LOGIC_MISMATCH
USDJPY_BASE_2,2020-01-03 21:00:00,USDJPY,SHORT,current_sl,111.16,1532.14,1420.98,12.7832,LOGIC_MISMATCH
USDJPY_BASE_2,2020-01-03 21:00:00,USDJPY,SHORT,exit_price,110.7,1532.14,1421.44,12.8405,LOGIC_MISMATCH
USDJPY_BASE_2,2020-01-03 21:00:00,USDJPY,SHORT,exit_reason,THESIS_EXIT,STOP_LOSS_TOUCH,0.0,0.0,LOGIC_MISMATCH
USDJPY_BASE_2,2020-01-03 21:00:00,USDJPY,SHORT,realized_pnl_thb,144.9,-1064.2751370808273,1209.1751,8.3449,LOGIC_MISMATCH
BTCUSD_BASE_3,2020-01-07 10:00:00,BTCUSD,SHORT,symbol,BTCUSD,XAUUSD,0.0,0.0,LOGIC_MISMATCH
BTCUSD_BASE_3,2020-01-07 10:00:00,BTCUSD,SHORT,volume,0.01,1.41,1.4,140.0,LOGIC_MISMATCH
BTCUSD_BASE_3,2020-01-07 10:00:00,BTCUSD,SHORT,entry_price,9375.1,1936.84,7438.26,0.7934,LOGIC_MISMATCH
BTCUSD_BASE_3,2020-01-07 10:00:00,BTCUSD,SHORT,current_sl,10136.03375,1945.205003054376,8190.8287,0.8081,LOGIC_MISMATCH
BTCUSD_BASE_3,2020-01-07 10:00:00,BTCUSD,SHORT,exit_price,10136.03375,1945.205003054376,8190.8287,0.8081,LOGIC_MISMATCH
BTCUSD_BASE_3,2020-01-07 10:00:00,BTCUSD,SHORT,realized_pnl_thb,-266.33,-2175.312900733459,1908.9829,7.1677,LOGIC_MISMATCH
USDJPY_BASE_4,2020-01-08 05:00:00,USDJPY,SHORT,symbol,USDJPY,US500,0.0,0.0,LOGIC_MISMATCH
USDJPY_BASE_4,2020-01-08 05:00:00,USDJPY,SHORT,volume,0.14,0.35,0.21,1.5,NUMERICAL_TOLERANCE
USDJPY_BASE_4,2020-01-08 05:00:00,USDJPY,SHORT,entry_price,109.66,3287.43,3177.77,28.9784,LOGIC_MISMATCH
USDJPY_BASE_4,2020-01-08 05:00:00,USDJPY,SHORT,current_sl,110.63475,3320.2519079619465,3209.6172,29.0109,LOGIC_MISMATCH
USDJPY_BASE_4,2020-01-08 05:00:00,USDJPY,SHORT,exit_price,110.24,3308.6,3198.36,29.0127,LOGIC_MISMATCH
USDJPY_BASE_4,2020-01-08 05:00:00,USDJPY,SHORT,realized_pnl_thb,-182.7,-696.8325000000009,514.1325,2.8141,LOGIC_MISMATCH
USDJPY_BASE_5,2020-01-14 02:00:00,USDJPY,SHORT,symbol,USDJPY,XAUUSD,0.0,0.0,LOGIC_MISMATCH
USDJPY_BASE_5,2020-01-14 02:00:00,USDJPY,SHORT,volume,0.12,3.03,2.91,24.25,LOGIC_MISMATCH
USDJPY_BASE_5,2020-01-14 02:00:00,USDJPY,SHORT,entry_price,109.31,1686.82,1577.51,14.4315,LOGIC_MISMATCH
USDJPY_BASE_5,2020-01-14 02:00:00,USDJPY,SHORT,current_sl,110.39325000000001,1686.82,1576.4267,14.2801,LOGIC_MISMATCH
USDJPY_BASE_5,2020-01-14 02:00:00,USDJPY,SHORT,exit_price,110.22,1686.82,1576.6,14.3041,LOGIC_MISMATCH
USDJPY_BASE_5,2020-01-14 02:00:00,USDJPY,SHORT,exit_reason,THESIS_EXIT,STOP_LOSS_TOUCH,0.0,0.0,LOGIC_MISMATCH
USDJPY_BASE_5,2020-01-14 02:00:00,USDJPY,SHORT,realized_pnl_thb,-245.7,-3787.5,3541.8,14.4151,LOGIC_MISMATCH
USDJPY_BASE_7,2020-01-15 14:00:00,USDJPY,LONG,symbol,USDJPY,XAUUSD,0.0,0.0,LOGIC_MISMATCH
USDJPY_BASE_7,2020-01-15 14:00:00,USDJPY,LONG,direction,LONG,SHORT,0.0,0.0,LOGIC_MISMATCH
USDJPY_BASE_7,2020-01-15 14:00:00,USDJPY,LONG,volume,0.12,2.01,1.89,15.75,LOGIC_MISMATCH
USDJPY_BASE_7,2020-01-15 14:00:00,USDJPY,LONG,entry_price,110.19,1670.749990883731,1560.56,14.1624,LOGIC_MISMATCH
USDJPY_BASE_7,2020-01-15 14:00:00,USDJPY,LONG,current_sl,109.102,1686.82,1577.718,14.4609,LOGIC_MISMATCH
USDJPY_BASE_7,2020-01-15 14:00:00,USDJPY,LONG,exit_price,109.67,1686.82,1577.15,14.3809,LOGIC_MISMATCH
USDJPY_BASE_7,2020-01-15 14:00:00,USDJPY,LONG,exit_reason,THESIS_EXIT,STOP_LOSS_TOUCH,0.0,0.0,LOGIC_MISMATCH
USDJPY_BASE_7,2020-01-15 14:00:00,USDJPY,LONG,realized_pnl_thb,-140.4,-3643.025141329518,3502.6251,24.9475,LOGIC_MISMATCH
US500_BASE_8,2020-01-16 08:00:00,US500,SHORT,symbol,US500,XAUUSD,0.0,0.0,LOGIC_MISMATCH
US500_BASE_8,2020-01-16 08:00:00,US500,SHORT,volume,0.19,4.49,4.3,22.6316,LOGIC_MISMATCH
US500_BASE_8,2020-01-16 08:00:00,US500,SHORT,entry_price,3022.23,1891.14,1131.09,0.3743,LOGIC_MISMATCH
US500_BASE_8,2020-01-16 08:00:00,US500,SHORT,current_sl,3065.65575,1899.2396294374025,1166.4161,0.3805,LOGIC_MISMATCH
US500_BASE_8,2020-01-16 08:00:00,US500,SHORT,exit_price,3047.61,1898.47,1149.14,0.3771,LOGIC_MISMATCH
US500_BASE_8,2020-01-16 08:00:00,US500,SHORT,realized_pnl_thb,-168.78,-6764.409499999989,6595.6295,39.0783,LOGIC_MISMATCH
BTCUSD_BASE_6,2020-01-15 03:00:00,BTCUSD,SHORT,direction,SHORT,LONG,0.0,0.0,LOGIC_MISMATCH
BTCUSD_BASE_6,2020-01-15 03:00:00,BTCUSD,SHORT,volume,0.01,0.05,0.04,4.0,NUMERICAL_TOLERANCE
BTCUSD_BASE_6,2020-01-15 03:00:00,BTCUSD,SHORT,entry_price,9626.06,89699.47,80073.41,8.3184,LOGIC_MISMATCH
BTCUSD_BASE_6,2020-01-15 03:00:00,BTCUSD,SHORT,current_sl,9626.06,89699.47,80073.41,8.3184,LOGIC_MISMATCH
BTCUSD_BASE_6,2020-01-15 03:00:00,BTCUSD,SHORT,exit_price,9274.9,92765.67,83490.77,9.0018,LOGIC_MISMATCH
BTCUSD_BASE_6,2020-01-15 03:00:00,BTCUSD,SHORT,realized_pnl_thb,122.91,5303.349999999995,5180.44,42.1482,LOGIC_MISMATCH
USDJPY_BASE_9,2020-01-16 13:00:00,USDJPY,SHORT,symbol,USDJPY,BTCUSD,0.0,0.0,LOGIC_MISMATCH
USDJPY_BASE_9,2020-01-16 13:00:00,USDJPY,SHORT,direction,SHORT,LONG,0.0,0.0,LOGIC_MISMATCH
USDJPY_BASE_9,2020-01-16 13:00:00,USDJPY,SHORT,volume,0.12,0.03,0.09,0.75,NUMERICAL_TOLERANCE
USDJPY_BASE_9,2020-01-16 13:00:00,USDJPY,SHORT,entry_price,109.97,90824.22744745668,90714.2574,824.9,LOGIC_MISMATCH
USDJPY_BASE_9,2020-01-16 13:00:00,USDJPY,SHORT,current_sl,111.03775,89699.47,89588.4322,806.8286,LOGIC_MISMATCH
USDJPY_BASE_9,2020-01-16 13:00:00,USDJPY,SHORT,exit_price,110.39,92765.67,92655.28,839.3449,LOGIC_MISMATCH
USDJPY_BASE_9,2020-01-16 13:00:00,USDJPY,SHORT,realized_pnl_thb,-113.4,2001.0146801704839,2114.4147,18.6456,LOGIC_MISMATCH
BTCUSD_BASE_10,2020-01-18 10:00:00,BTCUSD,SHORT,symbol,BTCUSD,XAUUSD,0.0,0.0,LOGIC_MISMATCH
BTCUSD_BASE_10,2020-01-18 10:00:00,BTCUSD,SHORT,volume,0.01,2.67,2.66,266.0,LOGIC_MISMATCH
BTCUSD_BASE_10,2020-01-18 10:00:00,BTCUSD,SHORT,entry_price,8932.48,2685.61,6246.87,0.6993,LOGIC_MISMATCH
BTCUSD_BASE_10,2020-01-18 10:00:00,BTCUSD,SHORT,current_sl,8932.48,2704.2227597612023,6228.2572,0.6973,LOGIC_MISMATCH
BTCUSD_BASE_10,2020-01-18 10:00:00,BTCUSD,SHORT,exit_price,8932.48,2699.35,6233.13,0.6978,LOGIC_MISMATCH
BTCUSD_BASE_10,2020-01-18 10:00:00,BTCUSD,SHORT,exit_reason,STOP_LOSS_TOUCH,THESIS_EXIT,0.0,0.0,LOGIC_MISMATCH
BTCUSD_BASE_10,2020-01-18 10:00:00,BTCUSD,SHORT,realized_pnl_thb,0.0,-4621.50299999998,4621.503,0.0,LOGIC_MISMATCH
GBPUSD_BASE_11,2020-01-20 07:00:00,GBPUSD,LONG,symbol,GBPUSD,BTCUSD,0.0,0.0,LOGIC_MISMATCH
GBPUSD_BASE_11,2020-01-20 07:00:00,GBPUSD,LONG,direction,LONG,SHORT,0.0,0.0,LOGIC_MISMATCH
GBPUSD_BASE_11,2020-01-20 07:00:00,GBPUSD,LONG,volume,0.01,0.05,0.04,4.0,NUMERICAL_TOLERANCE
GBPUSD_BASE_11,2020-01-20 07:00:00,GBPUSD,LONG,entry_price,1.29827,103983.45,103982.1517,80092.8557,LOGIC_MISMATCH
GBPUSD_BASE_11,2020-01-20 07:00:00,GBPUSD,LONG,current_sl,1.29002,104840.78133739161,104839.4913,81269.6635,LOGIC_MISMATCH
GBPUSD_BASE_11,2020-01-20 07:00:00,GBPUSD,LONG,exit_price,1.2954,104060.61,104059.3146,80329.8708,LOGIC_MISMATCH
GBPUSD_BASE_11,2020-01-20 07:00:00,GBPUSD,LONG,realized_pnl_thb,-100.45,-197.5300000000061,97.08,0.9665,LOGIC_MISMATCH
XAUUSD_BASE_12,2020-01-23 18:00:00,XAUUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_13,2020-01-26 07:00:00,BTCUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_14,2020-01-27 08:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_15,2020-01-29 07:00:00,BTCUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_16,2020-01-30 02:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_17,2020-01-31 10:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_PYR_18,2020-02-03 16:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_19,2020-02-07 04:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_21,2020-02-11 13:00:00,USDJPY,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
BTCUSD_BASE_20,2020-02-09 14:00:00,BTCUSD,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_22,2020-02-12 08:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_23,2020-02-14 10:00:00,US500,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_24,2020-02-14 21:00:00,US500,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
USDJPY_BASE_25,2020-02-18 12:00:00,USDJPY,SHORT,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
US500_BASE_26,2020-02-19 12:00:00,US500,LONG,ENTIRE_TRADE,PRESENT,MISSING,0.0,0.0,MISSING_TRADE
