rank_pnl,trade_id,symbol,direction,entry_time_thai,thai_hour,is_user_online,schedule_status,hypothetical_net_pnl_thb,outcome,mae_pct,mfe_pct
1,GBPUSD_BASE_869,GBPUSD,LONG,2023-05-24 14:00:00,14,True,ONLINE_CAPTURED,3357.3,WIN,0.335,8.951
2,BTCUSD_BASE_595,BTCUSD,LONG,2022-05-02 22:00:00,22,False,OFFLINE_MISSED,2529.75,WIN,1.207,22.029
3,BTCUSD_BASE_192,BTCUSD,LONG,2020-09-19 10:00:00,10,True,ONLINE_CAPTURED,1504.54,WIN,0.719,12.116
4,BTCUSD_BASE_248,BTCUSD,SHORT,2020-12-11 13:00:00,13,True,ONLINE_CAPTURED,1450.84,WIN,0.729,8.291
5,BTCUSD_BASE_122,BTCUSD,SHORT,2020-06-15 11:00:00,11,True,ONLINE_CAPTURED,1437.71,WIN,1.074,13.418
6,BTCUSD_BASE_751,BTCUSD,SHORT,2022-12-17 00:00:00,0,False,OFFLINE_MISSED,1391.27,WIN,1.064,11.883
7,BTCUSD_BASE_96,BTCUSD,LONG,2020-05-09 20:00:00,20,True,ONLINE_CAPTURED,1388.9,WIN,1.734,17.491
8,BTCUSD_BASE_453,BTCUSD,LONG,2021-10-01 04:00:00,4,False,OFFLINE_MISSED,1267.12,WIN,1.11,10.505
9,BTCUSD_BASE_1188,BTCUSD,LONG,2024-08-20 23:00:00,23,False,OFFLINE_MISSED,1252.49,WIN,0.443,4.054
10,BTCUSD_BASE_544,BTCUSD,SHORT,2022-02-17 13:00:00,13,True,ONLINE_CAPTURED,1198.18,WIN,0.985,10.311
11,BTCUSD_BASE_627,BTCUSD,LONG,2022-06-25 09:00:00,9,True,ONLINE_CAPTURED,1178.36,WIN,0.696,7.964
12,BTCUSD_BASE_853,BTCUSD,LONG,2023-05-04 02:00:00,2,False,OFFLINE_MISSED,1149.82,WIN,0.949,8.558
13,BTCUSD_BASE_246,BTCUSD,LONG,2020-12-06 22:00:00,22,False,OFFLINE_MISSED,1115.87,WIN,0.596,6.764
14,GBPUSD_BASE_1325,GBPUSD,SHORT,2025-03-20 19:00:00,19,True,ONLINE_CAPTURED,1109.95,WIN,0.329,3.194
15,GBPUSD_BASE_1230,GBPUSD,SHORT,2024-10-21 06:00:00,6,False,OFFLINE_MISSED,1050.8,WIN,0.378,3.025
16,GBPUSD_BASE_527,GBPUSD,SHORT,2022-01-26 00:00:00,0,False,OFFLINE_MISSED,1018.25,WIN,0.338,2.616
17,BTCUSD_BASE_551,BTCUSD,LONG,2022-03-02 21:00:00,21,True,ONLINE_CAPTURED,992.38,WIN,1.473,10.168
18,BTCUSD_BASE_62,BTCUSD,LONG,2020-03-15 00:00:00,0,False,OFFLINE_MISSED,979.82,WIN,2.929,20.096
19,BTCUSD_BASE_91,BTCUSD,LONG,2020-05-02 18:00:00,18,True,ONLINE_CAPTURED,928.6,WIN,1.413,13.698
20,BTCUSD_BASE_1279,BTCUSD,LONG,2025-01-05 12:00:00,12,True,ONLINE_CAPTURED,882.96,WIN,0.25,2.416
21,BTCUSD_BASE_1461,BTCUSD,SHORT,2025-09-26 08:00:00,8,False,OFFLINE_MISSED,861.58,WIN,0.339,2.919
22,GBPUSD_BASE_81,GBPUSD,SHORT,2020-04-16 23:00:00,23,False,OFFLINE_MISSED,860.05,WIN,0.259,1.959
23,BTCUSD_BASE_804,BTCUSD,LONG,2023-02-27 22:00:00,22,False,OFFLINE_MISSED,852.38,WIN,2.024,11.9
24,BTCUSD_BASE_475,BTCUSD,LONG,2021-11-08 21:00:00,21,True,ONLINE_CAPTURED,849.94,WIN,1.171,7.618
25,BTCUSD_BASE_200,BTCUSD,LONG,2020-10-01 17:00:00,17,True,ONLINE_CAPTURED,819.75,WIN,0.824,5.748
26,GBPUSD_BASE_897,GBPUSD,LONG,2023-07-05 01:00:00,1,False,OFFLINE_MISSED,811.05,WIN,0.304,2.104
27,GBPUSD_BASE_375,GBPUSD,SHORT,2021-06-16 15:00:00,15,True,ONLINE_CAPTURED,807.9,WIN,0.263,1.924
28,BTCUSD_BASE_217,BTCUSD,SHORT,2020-10-29 16:00:00,16,False,OFFLINE_MISSED,792.66,WIN,0.664,4.82
29,GBPUSD_BASE_656,GBPUSD,SHORT,2022-08-02 15:00:00,15,True,ONLINE_CAPTURED,761.7,WIN,0.326,1.896
30,BTCUSD_BASE_1233,BTCUSD,LONG,2024-10-26 18:00:00,18,True,ONLINE_CAPTURED,757.16,WIN,0.316,2.372
31,GBPUSD_BASE_274,GBPUSD,SHORT,2021-01-18 18:00:00,18,True,ONLINE_CAPTURED,756.8,WIN,0.271,1.7
32,GBPUSD_BASE_708,GBPUSD,LONG,2022-10-10 10:00:00,10,True,ONLINE_CAPTURED,747.0,WIN,0.315,1.85
33,BTCUSD_BASE_370,BTCUSD,SHORT,2021-06-09 17:00:00,17,True,ONLINE_CAPTURED,728.03,WIN,0.919,5.061
34,BTCUSD_BASE_578,BTCUSD,SHORT,2022-04-13 09:00:00,9,True,ONLINE_CAPTURED,712.15,WIN,1.037,6.954
35,BTCUSD_BASE_1371,BTCUSD,SHORT,2025-05-31 21:00:00,21,True,ONLINE_CAPTURED,706.27,WIN,0.371,2.312
36,BTCUSD_BASE_102,BTCUSD,LONG,2020-05-19 07:00:00,7,False,OFFLINE_MISSED,684.69,WIN,1.128,7.59
37,BTCUSD_BASE_955,BTCUSD,SHORT,2023-09-23 22:00:00,22,False,OFFLINE_MISSED,677.06,WIN,0.691,3.846
38,BTCUSD_BASE_482,BTCUSD,SHORT,2021-11-23 05:00:00,5,False,OFFLINE_MISSED,674.78,WIN,1.131,5.385
39,BTCUSD_BASE_1330,BTCUSD,SHORT,2025-03-31 19:00:00,19,True,ONLINE_CAPTURED,673.19,WIN,0.405,2.149
40,GBPUSD_BASE_1252,GBPUSD,LONG,2024-11-20 01:00:00,1,False,OFFLINE_MISSED,672.45,WIN,0.396,1.985
41,BTCUSD_BASE_67,BTCUSD,LONG,2020-03-21 23:00:00,23,False,OFFLINE_MISSED,669.14,WIN,2.13,9.834
42,BTCUSD_BASE_1417,BTCUSD,LONG,2025-08-01 21:00:00,21,True,ONLINE_CAPTURED,659.64,WIN,0.401,2.269
43,BTCUSD_BASE_131,BTCUSD,LONG,2020-06-30 10:00:00,10,True,ONLINE_CAPTURED,651.53,WIN,1.016,6.652
44,BTCUSD_BASE_617,BTCUSD,LONG,2022-06-03 18:00:00,18,True,ONLINE_CAPTURED,641.21,WIN,0.873,4.95
45,BTCUSD_BASE_548,BTCUSD,SHORT,2022-02-24 20:00:00,20,True,ONLINE_CAPTURED,632.7,WIN,1.243,6.167
46,GBPUSD_BASE_1348,GBPUSD,SHORT,2025-04-24 21:00:00,21,True,ONLINE_CAPTURED,620.65,WIN,0.393,1.923
47,BTCUSD_BASE_974,BTCUSD,LONG,2023-11-01 22:00:00,22,False,OFFLINE_MISSED,607.7,WIN,0.708,3.546
48,BTCUSD_BASE_1028,BTCUSD,LONG,2024-01-18 21:00:00,21,True,ONLINE_CAPTURED,600.99,WIN,0.588,2.576
49,BTCUSD_BASE_1160,BTCUSD,LONG,2024-07-14 12:00:00,12,True,ONLINE_CAPTURED,599.4,WIN,0.401,2.037
50,BTCUSD_BASE_1429,BTCUSD,SHORT,2025-08-19 13:00:00,13,True,ONLINE_CAPTURED,556.19,WIN,0.31,1.939
51,BTCUSD_BASE_80,BTCUSD,LONG,2020-04-13 03:00:00,3,False,OFFLINE_MISSED,555.75,WIN,1.563,8.195
52,BTCUSD_BASE_1221,BTCUSD,LONG,2024-10-06 10:00:00,10,True,ONLINE_CAPTURED,548.9,WIN,0.321,1.854
53,BTCUSD_BASE_305,BTCUSD,SHORT,2021-03-05 20:00:00,20,True,ONLINE_CAPTURED,545.61,WIN,0.849,3.546
54,BTCUSD_BASE_1076,BTCUSD,SHORT,2024-03-24 21:00:00,21,True,ONLINE_CAPTURED,538.52,WIN,0.543,2.184
55,BTCUSD_BASE_821,BTCUSD,LONG,2023-03-26 18:00:00,18,True,ONLINE_CAPTURED,533.08,WIN,1.111,4.197
56,GBPUSD_BASE_1070,GBPUSD,SHORT,2024-03-11 13:00:00,13,True,ONLINE_CAPTURED,527.55,WIN,0.354,1.478
57,GBPUSD_BASE_1527,GBPUSD,SHORT,2025-12-13 01:00:00,1,False,OFFLINE_MISSED,516.7,WIN,0.444,1.68
58,GBPUSD_BASE_721,GBPUSD,SHORT,2022-11-04 17:00:00,17,True,ONLINE_CAPTURED,510.75,WIN,0.297,1.345
59,BTCUSD_BASE_970,BTCUSD,LONG,2023-10-28 14:00:00,14,True,ONLINE_CAPTURED,492.87,WIN,0.681,3.004
60,BTCUSD_BASE_1,BTCUSD,LONG,2020-01-02 14:00:00,14,True,ONLINE_CAPTURED,482.65,WIN,3.964,18.198
61,GBPUSD_BASE_1008,GBPUSD,LONG,2023-12-25 17:00:00,17,True,ONLINE_CAPTURED,475.75,WIN,0.35,1.356
62,BTCUSD_BASE_457,BTCUSD,SHORT,2021-10-09 18:00:00,18,True,ONLINE_CAPTURED,472.06,WIN,1.021,3.657
63,BTCUSD_BASE_948,BTCUSD,SHORT,2023-09-13 22:00:00,22,False,OFFLINE_MISSED,471.41,WIN,0.771,2.563
64,BTCUSD_BASE_351,BTCUSD,SHORT,2021-05-12 02:00:00,2,False,OFFLINE_MISSED,463.03,WIN,0.922,3.227
